"opaque_slot_id","authoring_admission","reason"
"37d6ecfb716183fa30111206","passed",""
"3c555d99633f4837cd9a7255","passed",""
"9e957f117a24d6efaf5f1c47","passed",""
"5d064537386df97f3f5488a4","passed",""
"1246fec471b0825b640c5d9e","passed",""
"138c6e993ca6447d1f4dbf00","passed",""
"5f8091bf863788569e4b3293","passed",""
"734eb69e666bf887e9bd7628","failed","intended GIFT meaning was ambiguous; bringing drinks to a party did not clearly express a gift purpose."
"573cf47f472be6b92c9b19ce","passed",""
"50e5127cdad11edf2b1926c8","passed",""
"0c2465f8811c758568bf4495","failed","original query did not express the intended GIFT meaning."
"9a4624529dac4fc3c404cb18","passed",""
"f3a59f5e810cd1881912f136","passed",""
"aa333d7440cc14104cd2bbba","failed","intended URGENCY was present, but the requested product was semantically inconsistent/ambiguous."
"e930ad88936e54c93d838a12","passed",""
"1f3d5e3795433644890691fe","passed",""
"0924ae00af39a5468e541134","passed",""
"f7624944d8ca280e843485ef","passed",""
"bee1b0827ddb51e6174ad98f","passed",""
"2dfeffeafe2bdedc57adb620","passed",""
"f8f60c5f543222c81ac1fb2d","passed",""
"e7f00ee795ab81136f42ead5","passed",""
"a5218c82cd75d679717a3c67","passed",""
"d5dbb3839b764f352dd3a53f","passed",""
"3c3102a8e2a8dceb17e00206","passed",""
"758d1bc741adf19b1a30cce6","passed",""
"ed3213072a3050bc8a08df7b","passed",""
"6166ec1f8450db338eb2d8d2","failed","intended GIFT+URGENCY assignment was not sufficiently expressed and the product request was underspecified."
"fc6dd729fd5429f0855ac17c","failed","BUDGET was expressed, but intended GIFT meaning was ambiguous."
"212276152123b7c9d90f06d7","passed",""
"365205560e711ea95fc43479","passed",""
"f86105e4351ab8d43b2ee618","passed",""
"5d424b2a6c13bbcd1eaa50cc","passed",""
"e88b2a5d53d18c3db1fd9962","passed",""
"075e88abf543a0f897582d82","passed",""
"d67288787865cb225e273faa","passed",""
"e98285c2a7f7fb4a46c092b5","passed",""
"1cbaa393ca4480e5ca850af7","passed",""
"556aadf68d918863525b38d9","passed",""
"df3447de2445c0d79422ac70","passed",""
