"opaque_slot_id","Query","intended_semantic_cue_assignment","explicit_numeric_budget_required","version_origin","added_property"
"37d6ecfb716183fa30111206","My mom wants some organic granola bars, “no sugar!” she said","DIET","false","ORIGINAL_SEALED",""
"3c555d99633f4837cd9a7255","I need some plant-based hamburger for my vegan friend","DIET","false","ORIGINAL_SEALED",""
"9e957f117a24d6efaf5f1c47","Give me some sugar-free biscuits, preferably vegan ","DIET","false","ORIGINAL_SEALED",""
"5d064537386df97f3f5488a4","I need some organic frozen grilled veggies, must be salt free","DIET","false","RQ2_ONLY_PROSPECTIVE_AUGMENTATION","organic"
"1246fec471b0825b640c5d9e","I want some gluten free, fat-free and salt free bread to follow my keto diet","DIET","false","RQ2_ONLY_PROSPECTIVE_AUGMENTATION","gluten free"
"138c6e993ca6447d1f4dbf00","The only thing I’m looking in a gluten free cake is white chocolate","DIET","false","ORIGINAL_SEALED",""
"5f8091bf863788569e4b3293","i’m searching for a gift box for my friend’s birthday","GIFT","false","ORIGINAL_SEALED",""
"734eb69e666bf887e9bd7628","I want some beer and soda to bring to a Christmas party, that will be my present for them","GIFT","false","ORIGINAL_SEALED",""
"573cf47f472be6b92c9b19ce","i’m looking for a birthday cake, must contain chocolate chips I really like them","GIFT","false","ORIGINAL_SEALED",""
"50e5127cdad11edf2b1926c8","My nieces really like candy and sweets, so I’ll bring some as a gift","GIFT","false","ORIGINAL_SEALED",""
"0c2465f8811c758568bf4495","I think that my sister will really enjoy some dried fruit snacks, should I look for a gift box?","GIFT","false","ORIGINAL_SEALED",""
"9a4624529dac4fc3c404cb18","I need some ice cream for a kids birthday party","GIFT","false","ORIGINAL_SEALED",""
"f3a59f5e810cd1881912f136","Looking for some instant family pack pizza; this is urgent","URGENCY","false","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"aa333d7440cc14104cd2bbba","Something with chicken would be perfect for dinner tonight; this is urgent, an asian recipe maybe…","URGENCY","false","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"e930ad88936e54c93d838a12","I’m looking for some pizza that I can bring to work tomorrow","URGENCY","false","ORIGINAL_SEALED",""
"1f3d5e3795433644890691fe","A cake would be perfect for tonight, this is urgent","URGENCY","false","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"0924ae00af39a5468e541134","i’m looking for quick Indian food, preferably spicy","URGENCY","false","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"f7624944d8ca280e843485ef","Now it’s the perfect time for  some chips and pretzels","URGENCY","false","ORIGINAL_SEALED",""
"bee1b0827ddb51e6174ad98f","i'm looking for some pancakes, preferably under $5","BUDGET","true","MARTINA_REVISION",""
"2dfeffeafe2bdedc57adb620","I need a bottle of dry  prosecco, must be under $30","BUDGET","true","MARTINA_REVISION",""
"f8f60c5f543222c81ac1fb2d","Looking for some economic protein bars that are less than $8","BUDGET","true","MARTINA_REVISION",""
"e7f00ee795ab81136f42ead5","Some canned tuna I hope to find it for under $10","BUDGET","true","MARTINA_REVISION",""
"a5218c82cd75d679717a3c67","I want a can of blonde beer that is under $3","BUDGET","true","MARTINA_REVISION",""
"d5dbb3839b764f352dd3a53f","I would like some cheap chocolate cookies, max $3","BUDGET","true","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"3c3102a8e2a8dceb17e00206","I want to gift a gluten free strawberry cake to my friend, hope she likes it","DIET+GIFT","false","ORIGINAL_SEALED",""
"758d1bc741adf19b1a30cce6","I need some canned beer; this is urgent, and it must be gluten free","DIET+URGENCY","false","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"ed3213072a3050bc8a08df7b","Looking for some vegan plant based sliced meat for my dinner, preferably under $15","DIET+BUDGET","true","RQ2_ONLY_PROSPECTIVE_AUGMENTATION","vegan"
"6166ec1f8450db338eb2d8d2","thinking about grabbing something for the party tonight; this is urgent, nothing fancy, can I give them sushi as a gift?","GIFT+URGENCY","false","SUPERVISOR_SEMANTIC_PRESERVING_REVISION",""
"fc6dd729fd5429f0855ac17c","Looking for a present for a kid must be under $10, he likes frozen yogurt","GIFT+BUDGET","true","MARTINA_REVISION",""
"212276152123b7c9d90f06d7","In need of instant chicken soup for a fast meal, must be under $2, we are on a budget here","URGENCY+BUDGET","true","MARTINA_REVISION",""
"365205560e711ea95fc43479","My mum asked me to buy some chocolate chip cookies ","CUE_FREE","false","ORIGINAL_SEALED",""
"f86105e4351ab8d43b2ee618","My friends asked me to bring some aromatic liqueurs to her house","CUE_FREE","false","ORIGINAL_SEALED",""
"5d424b2a6c13bbcd1eaa50cc","Looking for some ground coffee beans, I can’t live without it","CUE_FREE","false","ORIGINAL_SEALED",""
"e88b2a5d53d18c3db1fd9962","I want frozen pancakes, must contain chocolate","CUE_FREE","false","ORIGINAL_SEALED",""
"075e88abf543a0f897582d82","I would love some yogurt and cereals for breakfast","CUE_FREE","false","ORIGINAL_SEALED",""
"d67288787865cb225e273faa","In need of strawberry milk for my sister","CUE_FREE","false","ORIGINAL_SEALED",""
"e98285c2a7f7fb4a46c092b5","I’m looking for some sweet almond milk","CUE_FREE","false","ORIGINAL_SEALED",""
"1cbaa393ca4480e5ca850af7","Looking for white chocolate granola bars for a snack","CUE_FREE","false","ORIGINAL_SEALED",""
"556aadf68d918863525b38d9","i’m looking for a sweet snack, must contain strawberry","CUE_FREE","false","ORIGINAL_SEALED",""
"df3447de2445c0d79422ac70","i’m craving something different for dinner, seitan would be perfect for a new recipe","CUE_FREE","false","ORIGINAL_SEALED",""
